GeneID,ZmPep3,antiZm3
GRMZM5G805134,-1.579567025,1.553250678
GRMZM2G048912,-1.580406964,1.554588205
GRMZM2G349062,-1.583099607,1.557611726
GRMZM2G057159,-1.584065564,1.558094812
GRMZM2G449133,-1.592295698,1.561707271
GRMZM2G488458,-1.592461815,1.56181091
GRMZM2G572658,-1.597219967,1.562792409
GRMZM2G031761,-1.604917346,1.570789766
GRMZM2G088138,-1.605037196,1.574423485
GRMZM2G109448,-1.607620992,1.57619717
GRMZM2G312910,-1.611413539,1.577114749
GRMZM2G002165,-1.619427253,1.577326119
GRMZM2G099944,-1.621908438,1.579238419
GRMZM2G143870,-1.621912679,1.581803392
GRMZM2G126371,-1.623271129,1.584830251
GRMZM2G098643,-1.624222419,1.586485098
GRMZM2G022837,-1.626124375,1.586771766
GRMZM2G167253,-1.62780896,1.592791112
AC148152.3_FG008,-1.632148351,1.594766838
GRMZM2G017110,-1.632941713,1.594987518
GRMZM2G083504,-1.634142861,1.596124191
GRMZM2G000660,-1.641302058,1.597879247
GRMZM2G027437,-1.64241929,1.612771254
GRMZM2G330049,-1.644338795,1.613601647
GRMZM2G113325,-1.646052325,1.613741394
GRMZM5G896082,-1.650743882,1.615910052
GRMZM2G164963,-1.654039808,1.62525711
GRMZM2G445575,-1.656430558,1.631556543
GRMZM2G162805,-1.658141084,1.636021628
GRMZM2G394528,-1.658321352,1.638251221
GRMZM2G155753,-1.659133358,1.640241946
GRMZM2G380457,-1.659167375,1.64948594
GRMZM5G845496,-1.662378037,1.650863822
GRMZM2G372297,-1.665266848,1.684275208
GRMZM2G038448,-1.665627875,1.684420177
GRMZM5G813886,-1.669213265,1.685734442
GRMZM2G062788,-1.669879457,1.694332437
GRMZM2G152477,-1.671028362,1.695629283
GRMZM2G062129,-1.673422798,1.702245812
GRMZM2G152040,-1.673540798,1.702342899
GRMZM2G120563,-1.675958329,1.705229477
GRMZM2G163988,-1.676503432,1.70889008
GRMZM2G004352,-1.676999608,1.711400666
GRMZM2G102946,-1.678687567,1.713875218
GRMZM2G474769,-1.68064377,1.715108059
GRMZM2G176820,-1.686042962,1.718844728
GRMZM2G073054,-1.686496108,1.718991471
GRMZM2G178192,-1.688252891,1.719605662
GRMZM5G814089,-1.690652,1.721548097
GRMZM2G025322,-1.697818643,1.722977172
GRMZM2G084142,-1.697924558,1.726299825
GRMZM2G540403,-1.69936543,1.728653729
AC217499.3_FG003,-1.700370028,1.72975926
GRMZM2G137151,-1.700521287,1.732471288
GRMZM2G171444,-1.700640949,1.732802898
GRMZM2G163437,-1.702172748,1.732831508
GRMZM2G003869,-1.708961603,1.735218148
