GeneID,1H,4H,6H,24H
GRMZM2G077757,0,-0.888658654,-0.961616515,-0.762606552
GRMZM2G077760,0,0,0.875875991,0.625087503
GRMZM2G077809,1.098980339,0,0.964865152,1.132422036
GRMZM2G077823,0,0,0,-0.837792346
GRMZM2G077897,0,0,0,0.678379619
GRMZM2G077914,0,0,0,1.165646886
GRMZM2G077991,0,0.561788529,0.706025705,0
GRMZM2G078024,-0.741384113,-0.956252162,-1.162598151,-1.003338123
GRMZM2G078118,0,-0.719937669,-0.90959272,-0.914890139
GRMZM2G078143,1.918016008,3.094046045,2.68789429,2.264817291
GRMZM2G078164,0.849854061,0,0,-1.787922896
GRMZM2G078238,0,0,0.801321404,0.882318539
GRMZM2G078274,0,-0.857949923,-1.602420081,-1.393787958
GRMZM2G078324,0,-0.744618487,-1.216007223,-1.726315998
GRMZM2G078368,0,-0.837277095,-0.87662216,-0.880390088
GRMZM2G078373,0,0,0,-0.749121674
GRMZM2G078407,-2.334862905,-2.603796836,-2.742835206,-1.737136761
GRMZM2G078409,1.382685092,0,0,0
GRMZM2G078412,0,-0.612622373,-0.700587983,-0.667584625
GRMZM2G078458,0,0,-0.904589191,-0.894048689
GRMZM2G078465,0,0,1.49449129,2.245492421
GRMZM2G078480,-0.677384536,-0.922799982,-1.043480629,0
GRMZM2G078500,1.877329993,2.430618647,2.419546305,2.09248802
GRMZM2G078526,0,-0.821132401,-0.718190787,-0.71089418
GRMZM2G078595,0,2.742067657,2.325248872,3.029239831
GRMZM2G078641,0,-0.536604961,0,-0.688306173
GRMZM2G078650,2.185888561,0,-1.082949088,0
GRMZM2G078667,0,0,2.01420502,2.345160277
GRMZM2G078757,1.010546953,0.806555191,0.858454678,1.0109953
GRMZM2G078781,0,-0.985208456,-1.264904494,-1.483757651
GRMZM2G078806,2.158920838,1.156217762,0,0
GRMZM2G078839,0.934389742,1.384013279,0,1.491502003
GRMZM2G078876,2.034475126,1.047474968,0.589624088,0
GRMZM2G078887,2.063826769,1.930341969,1.937940954,1.320501292
GRMZM2G078890,1.628167797,1.638770138,1.723424306,1.670915637
GRMZM2G078941,0,0.605538684,0.784445409,0.757951973
